distid,lunch,math4,year,lenrol,lrexpp
1010,36.299999,28.799999,1992,6.9930153,8.4837589
1010,39.200001,32.299999,1993,7.0030656,8.5832586
1010,38.599998,39.099998,1994,6.9186954,8.638834
1010,37.41,68,1995,6.9027429,8.7544613
1010,40.790001,68.400002,1996,6.9157233,8.7477055
1010,43.84,49,1997,6.9716687,8.7216024
1010,42.610001,75,1998,6.9641356,8.7604017
2010,36.400002,30,1992,4.8598123,8.2791901
2010,38.599998,28.6,1993,4.8362818,8.2499838
2010,52.599998,37.5,1994,4.8362818,8.2636871
2010,51.52,40,1995,4.0775375,9.1025438
2010,47.299999,83.300003,1996,4.0943446,9.0859165
2010,52.240002,90,1997,4.0253515,9.088625
2010,56.599998,67,1998,3.871201,9.1355591
2020,59.299999,20,1992,4.4998097,8.895278
2020,59.200001,37.5,1993,4.3307333,9.0409184
2020,50,100,1994,4.356709,8.9905872
2020,51.220001,57.099998,1995,4.4067192,9.0440941
2020,62.5,50,1996,4.3944492,9.1389351
2020,48.810001,40,1997,4.4308167,9.2045231
2020,56.41,50,1998,4.3307333,9.2473822
2070,23.6,45.200001,1992,6.9574976,8.3317747
2070,24,32.900002,1993,7.0139155,8.2828112
2070,25.299999,54.200001,1994,7.0085053,8.3161516
2070,28.85,63.200001,1995,7.0326242,8.4209423
2070,24.93,73.900002,1996,7.0352688,8.4692411
2070,26.709999,63,1997,7.0387836,8.4894104
2070,28.129999,84,1998,7.0048819,8.5238895
2080,34.200001,23.1,1992,6.1923623,8.4265585
2080,40.799999,48.599998,1993,6.1758671,8.5212812
2080,40.700001,31,1994,6.1506028,8.6489477
2080,40.169998,50,1995,6.1246834,8.7756672
2080,36.630001,57.099998,1996,6.1025586,8.758853
2080,39.950001,50,1997,6.0684257,8.8255596
2080,38.939999,87,1998,6.0730443,8.7398081
3000,18.700001,44.599998,1992,7.5120711,8.2861328
3000,19.700001,37.5,1993,7.5186071,8.3227224
3000,19.5,55.700001,1994,7.5347629,8.3938284
3000,21.41,58.799999,1995,7.50769,8.5609465
3000,21.1,65,1996,7.5202346,8.5717649
3000,20.92,62,1997,6.0520892,8.2342997
3000,21.17,75,1998,7.4330754,8.6196976
3010,13.4,36.599998,1992,7.9017477,8.3650885
3010,12.9,41.299999,1993,7.8845763,8.4387655
3010,13,60.5,1994,7.9065471,8.4826355
3010,15.96,61.900002,1995,7.8442407,8.6355152
3010,16.02,70.400002,1996,7.8716927,8.6409903
3010,16.190001,61,1997,7.9017477,8.6299858
3010,15.77,72,1998,7.9179006,8.6109505
3020,19.799999,46.700001,1992,7.8062892,8.2654533
3020,20.1,44.5,1993,7.7844734,8.3044786
3020,20.299999,59.599998,1994,7.8075099,8.3622141
3020,20.26,64.599998,1995,7.7972913,8.4836388
3020,19.41,72.5,1996,7.7948232,8.4942532
3020,19.459999,75,1997,7.8005729,8.54811
3020,19.879999,84,1998,7.7935867,8.5609484
3030,21.5,39.200001,1992,7.9658928,8.2941713
3030,20.9,35.5,1993,8.0116863,8.2811251
3030,21.799999,59.700001,1994,8.0166483,8.3466663
3030,22.16,58.700001,1995,7.9800234,8.4853792
3030,22.209999,58.299999,1996,7.9827576,8.5480452
3030,24.309999,57,1997,7.9986715,8.5608273
3030,22.73,70,1998,8.0060339,8.6114874
3040,19.5,42.099998,1992,7.9080195,8.3449068
3040,20,45.900002,1993,7.9323621,8.3724632
3040,19.9,56.700001,1994,7.9547234,8.4877787
3040,17.719999,62.099998,1995,7.9697037,8.5905437
3040,18.719999,78,1996,8.0077,8.5639858
3040,17.92,72,1997,8.0602245,8.5954494
3040,20.32,80,1998,8.0777578,8.629426
3050,31.1,21.799999,1992,7.4175806,8.4454174
3050,33.400002,34.799999,1993,7.4042792,8.4587469
3050,30.299999,38.299999,1994,7.4042792,8.5189629
3050,34.200001,45.700001,1995,7.3271232,8.6529522
3050,30.84,42.599998,1996,7.3479438,8.611455
3050,30.34,43,1997,7.3790083,8.6590395
3050,31.59,67,1998,7.385231,8.6966457
3060,26.6,36.400002,1992,6.7765069,8.3648214
3060,28.4,41.299999,1993,6.7719355,8.3844576
3060,29.4,48.400002,1994,6.7569323,8.4729471
3060,30.690001,49.400002,1995,6.7557688,8.5787306
3060,29.719999,68.599998,1996,6.7357802,8.608285
3060,24.120001,43,1997,6.7153835,8.6401186
3060,23.77,70,1998,6.7044144,8.6694527
3070,18,33.700001,1992,7.1569562,8.274826
